Account,Availability,GitHub Apps,GitHub Accounts,GitHub Actions,Functionality Notes,CI Task Assistance,Code Review Assistance,Community Management,Dependency and Security Check,Documentation,Issue and PR Management,Open Source,Bot Creation Framework,Website/Info
['akka-ci'],Commercial,True,True,False,Running checks in PR,True,False,False,False,False,False,True,,https://akka.io/
['depfu'],Commercial,True,False,False,Dependency Updates,False,False,False,True,False,False,False,,https://github.com/marketplace/depfu
['allcontributors'],Free,True,False,False,Acknowledge Contributors,False,False,True,False,False,False,True,,https://github.com/all-contributors/all-contributors
['amp-owners-bot'],Free,True,False,False,Approve PR when passes all checks,True,False,False,False,False,False,True,,https://github.com/ampproject/amp-github-apps
"['ansibot', 'ant-design-bot']",Free,True,False,False,"manage ansible issues, close, open",False,False,False,False,False,True,True,,https://github.com/ansible/ansibullbot
['atlassian-cla-bot'],Free,False,True,False,Contributor License Agreement,False,False,True,False,False,False,True,CLA Bot,"https://github.com/apps/atlassian-cla-bot
https://github.com/finos/cla-bot"
['auto-comment'],Free,True,False,True,automatically provide comment based on event,False,False,True,False,False,False,True,ProBot,https://github.com/apps/auto-comment
['babel-bot'],Free,True,False,False,Labeling issues based on the content,False,False,False,False,False,True,True,AWS Lambda,https://github.com/babel/babel-bot
['Boring-Cyborg'],Free,True,False,True,Label issue based on source code changes,False,False,False,False,False,True,True,ProBot,https://probot.github.io/apps/boring-cyborg/
"['BrewTestBot', 'SeekerTestBot']",Free,True,False,False,Run tests on PR and report results,True,False,False,False,False,False,True,,https://github.com/Homebrew/homebrew-test-bot
['buildbot'],Free,False,True,False,"generic repo bot
CI framework
build test and deploy",True,False,False,False,False,False,True,buildbot,https://www.buildbot.net/
['carsonbot'],Free,False,True,False,"label issue based on comments,  recommend reviewer, format pr, add milestone",False,True,False,False,True,True,True,,https://github.com/symfony-tools/carsonbot
['changeset-bot'],Free,True,False,False,Preview changes in a PR,False,True,False,False,False,False,True,,https://github.com/apps/changeset-bot
['cla-checker-service'],Free,False,True,False,Contributor License Agreement,False,False,True,False,False,False,False,,https://github.com/apps/cla-checker-service
['CLAassistant'],Free,True,False,False,['Contributor License Agreement'],False,False,True,False,False,False,True,,https://github.com/cla-assistant/cla-assistant
['close-issue-app'],Free,False,True,True,['close inactive issues'],False,False,False,False,False,True,True,,https://github.com/apps/close-issue-app
['CocoaPodsBarista'],Free,True,False,False,Automate checks on pull-requests and label issue/pr with check status,True,False,False,False,False,True,True,Danger,https://github.com/danger/danger
['codesandbox'],Free,True,False,False,Build and run test checks on PR,True,False,False,False,False,False,False,,https://github.com/apps/codesandbox
['codetriage-readme-bot'],Free,False,True,False,Manage PR that are related to READMEs,True,False,False,False,False,True,False,,https://github.com/codetriage-readme-bot
['copybara-serivce'],Free,True,True,False,"pushing changes, testing and deploying web application
auto merge passed PR",True,False,False,False,False,False,True,,"http://teamcapybara.github.io/capybara/
https://github.com/apps/copybara-service"
['delete-merged-branch'],Free,True,False,True,Automatically deletes a branch after it's merged.,True,False,False,False,False,False,True,,https://github.com/apps/delete-merged-branch
['devdocs-bot'],Free,True,False,False,Update documentation,False,False,False,False,True,False,True,,https://github.com/devdocs-bot
['diem-cla-bot'],Free,False,False,False,Contributor License Agreement,False,False,True,False,False,False,True,,https://github.com/ColinEberhardt/cla-bot
['dpulls'],Free,True,False,False,checking status of depending pull requests of a pull request,False,False,False,True,False,False,False,,"https://www.dpulls.com/
https://github.com/marketplace/dpulls"
['echarts-bot'],Free,False,True,False,Issue & PR Management,False,False,False,False,False,True,True,,https://github.com/apache/echarts-bot
['ecma262-compare-bot'],Free,False,True,False,Code diff result report,False,True,False,False,False,False,False,,https://github.com/ecma262-compare-bot
['faily-bot'],Free,False,True,False,comment on PR when the CI fails.,True,False,False,False,False,False,True,,https://github.com/morrisjobke/faily
"['forking-renovate', 'renovate-bot', 'renovate', 'renovate-approve', 'renovate-approve-2']",Free,True,False,False,Dependency Updates,False,False,False,True,False,False,True,,https://github.com/renovatebot/renovate
['gcf-merge-on-green'],Free,True,False,False,Merge a pull-request when all required checks have passed,True,False,False,False,False,False,True,ProBot,https://github.com/googleapis/repo-automation-bots
['gitguardian'],Free,False,False,True,Check security,False,False,False,True,False,False,False,,"https://github.com/marketplace/actions/gitguardian-shield-action
https://github.com/GitGuardian/ggshield"
"['hashicorp-ci', 'hashibot']",Free,True,False,False,"Generic CI bot, including update dependencies, run checks, and post comments",True,False,False,True,False,False,False,,https://github.com/hashicorp-ci
['hashicorp-cla'],Free,True,False,False,Contributor License Agreement,False,False,True,False,False,False,False,,https://github.com/hashicorp-cla
['hasura-bot'],Free,False,True,False,commenting on pull requests when they are opened/closed/merged,False,False,True,False,False,False,True,,https://github.com/hasura/github-bot
['issue-check'],Free,False,True,False,Check if issue follows the template,False,False,False,False,False,True,True,ProBot,https://github.com/apps/issue-check
['jekyllbot'],Free,False,True,False,auto-reply on certain events,False,False,True,False,False,False,True,,https://github.com/parkr/auto-reply
['jsf-clabot'],Free,True,False,False,Contributor License Agreement,False,False,True,False,False,False,True,CLAassistant,https://github.com/jsf-clabot
['k8s-ci-robot'],Free,True,False,False,"Command taker, comment interface with Github API, general CI purpose",True,False,False,False,False,False,True,,"https://github.com/kubernetes/test-infra/tree/master/prow#bots-home
https://prow.k8s.io/command-help"
['label-actions'],Free,False,True,False,Issue & PR Management,False,False,False,False,False,True,True,,https://github.com/dessant/label-actions
['lgtm-com'],Free,True,False,False,Security and conflict check for PR,True,False,False,True,False,False,True,,https://lgtm.com/
['linux-foundation-easycla'],Free,False,True,False,Contributor License Agreement,False,False,True,False,False,False,True,,https://github.com/communitybridge/easycla
['lock'],Free,True,False,False,['lock inactive issue/discussion'],False,False,False,False,False,True,True,ProBot,https://github.com/apps/lock
['mary-poppins'],Free,True,False,False,Issue & PR Management,False,False,False,False,False,True,True,,https://github.com/btford/mary-poppins
['meeseeksdev'],Free,True,False,False,"generic repo bot
responds to commands, backport Pull-Request, give fine grained permissions to users",True,False,True,True,False,False,False,,https://github.com/apps/meeseeksdev/
['MIRAI-bot'],Free,False,False,True,Community Interaction,False,False,True,False,False,False,True,Eris,https://github.com/brussell98/Mirai
['misspell_fixer'],Free,False,False,True,Automatically fixes typos and mistakes in source code and docs,False,True,False,False,True,False,True,,https://github.com/marketplace/actions/misspell-fixer-action
['netlify'],Free,True,True,False,"Continuous Intergration Enhancement
Deployment",True,False,False,False,False,False,True,,https://github.com/apps/netlify
['nextcloud-stale'],Free,False,True,False,Issue & PR Management,False,False,False,False,False,True,False,,https://github.com/apps/nextcloud-stale
['no-response'],Free,False,True,False,close and label issue has no-response,False,False,False,False,False,True,True,ProBot,https://github.com/probot/no-response
['paddle-bot'],Free,False,True,False,"Discord welcome
Issue & PR Management",False,False,True,False,False,True,True,,https://github.com/apps/paddle-bot
['probot-autolabeler'],Free,True,False,False,Issue label,False,False,False,False,False,True,True,ProBot,https://github.com/apps/probot-autolabeler
['project-bot'],Free,True,False,False,add issue label,False,False,False,False,False,True,True,,"https://github.com/apps/project-bot
https://github.com/philschatz/project-bot"
['pull-dog'],Free,False,True,False,"Continuous Intergration Enhancement
Setting up testing envrionment for the deployment",True,False,False,False,False,False,False,,https://github.com/apps/pull-dog
['pull-request-size'],Free,True,False,False,Summarize PR based on diff size,False,True,False,False,False,False,True,,"https://github.com/apps/pull-request-size
https://github.com/noqcks/pull-request-size"
['realm-probot'],Free,False,True,False,"A bot that takes care of automating tasks based on events happening on Github and Zenhub, generic repo bot",False,False,False,False,False,False,False,ProBot,https://github.com/apps/realm-probot
['release-drafter'],Free,True,False,False,draft a release note with template,False,False,False,False,True,False,True,ProBot,"https://github.com/apps/release-drafter
https://github.com/release-drafter/release-drafter"
['repo-ranger'],Free,True,False,False,"close issues, merge pull-request passes checks, and make comments on certain events",True,False,True,False,False,True,True,,https://github.com/reporanger
['request-info'],Free,True,False,False,Ask more information of a PR or Issue if it has not presented.,False,False,False,False,False,True,True,ProBot,https://github.com/apps/request-info
['rfcbot'],Free,False,True,False,coordinating between team members on PR review,False,True,False,False,False,False,True,,"https://github.com/rust-lang/rfcbot-rs
https://githubmemory.com/@rfcbot"
['scala-steward'],Free,True,False,False,Dependency Updates,False,False,False,True,False,False,True,,https://github.com/scala-steward-org/scala-steward
['selenium-assistant'],Free,False,True,False,Archived,False,False,False,False,False,False,True,ProBot,"https://github.com/apps/selenium-assistant
https://githubmemory.com/repo/SeleniumHQ/selenium-assistant
https://github.com/SeleniumHQ/selenium-assistant"
['sourcery-ai'],Free,True,False,False,"refactoring code, improve code style, visualize PR changes",False,True,False,False,False,False,True,,https://github.com/marketplace/sourcery-ai
['squash-labs'],Free,False,True,False,test web apps. Create a virtual machine for each branch of code and automatically makes your app available from a unique URL.,True,False,False,False,False,False,False,,https://github.com/apps/squash-labs
['Stale'],Free,True,True,False,Label and close inactive issues,False,False,False,False,False,True,True,ProBot,https://github.com/probot/stale
['support'],Free,False,True,False,A GitHub App that comments on and closes issues labeled as support requests.,False,False,False,False,False,True,True,ProBot,https://github.com/apps/support
['sync-by-unito'],Free,True,False,False,Automate the generic workflow of CI,True,False,False,False,False,False,False,,https://github.com/apps/sync-by-unito
['TravisBuddy'],Free,False,True,False,"Continuous Intergration Enchancement
generic repo bot for CI
automate build, test, and deploy",True,False,False,False,False,False,True,,https://github.com/bluzi/travis-buddy
['weekly-digest'],Free,True,False,False,Activity Summary,False,False,False,False,True,False,True,ProBot,https://github.com/apps/weekly-digest
['welcome'],Free,False,True,False,Discord welcome,False,False,True,False,False,False,True,ProBot,https://github.com/InfusionBot/Welcome-Bot
['yii-bot'],Free,False,True,False,"Label issue, move issues to another repo",False,False,False,False,False,False,True,,https://github.com/yiisoft-contrib/github-bot
['zulipbot'],Free,False,True,False,"issue triage (self-assigning and labeling issues), monitors the activity of issues and pull requests, notifying contributors about new merge conflicts, continuous integration build results",True,False,False,False,False,True,True,,"https://github.com/zulip/zulipbot
https://githubmemory.com/@zulipbot"
['issue-label-bot'],Free,True,False,False,Label issues,False,False,False,False,False,True,True,,https://github.com/marketplace/issue-label-bot
"['AppVeyor', 'AppVeyorBot']",Free and Commercial,False,True,False,"building, testing and Deployment",True,False,False,False,False,False,True,,https://github.com/marketplace/appveyor
['Azure-pipelines'],Free and Commercial,True,False,False,"build, test and deploy",True,False,False,False,False,False,True,,https://github.com/marketplace/azure-pipelines
['cloudflare-pages'],Free and Commercial,True,False,False,prview web application changes,True,False,False,False,False,False,False,,"https://github.com/apps/cloudflare-pages
https://pages.cloudflare.com/"
"['codecov', 'codecov-io', 'codecov-commenter']",Free and Commercial,True,False,True,Testing coverage,False,True,False,False,False,False,True,,https://about.codecov.io/
['codelingobot'],Free and Commercial,True,False,False,"knowledge management, sharing notes on code snippet",False,False,False,False,True,False,False,,https://github.com/apps/codelingo
['coveralls'],Free and Commercial,False,True,False,Testing coverage,False,True,False,False,False,False,False,,https://coveralls.io/
['deepsource-autofix'],Free and Commercial,True,False,False,Autofix issues and create pull requests,True,False,False,False,False,False,False,,"https://deepsource.io/
https://github.com/apps/deepsource-autofix"
['gitpod-io'],Free and Commercial,False,True,False,Deploy software environment on different settings for CI,True,False,False,False,False,False,False,,https://github.com/marketplace/gitpod-io
['LingoHub'],Free and Commercial,False,True,False,Localization and translation,False,False,False,False,True,False,False,,https://github.com/apps/lingohub
['mergify'],Free and Commercial,False,True,False,Check pull-request if passes all tests,True,False,False,False,False,False,False,,https://github.com/marketplace/mergify
['pullapprove'],Free and Commercial,True,False,False,Code Review Assignment,False,True,False,False,False,False,False,,https://www.pullapprove.com/
['pyup-bot'],Free and Commercial,False,True,False,Dependency Updates,False,False,False,True,False,False,False,,https://pyup.io/
['restyled-io'],Free and Commercial,False,True,False,"Check codestyle in PR, and left comments on the PR",False,True,False,False,False,False,False,,https://github.com/apps/restyled-io
['review-notebook-app'],Free and Commercial,False,True,False,visualize diff for review,False,True,False,False,False,False,False,,https://github.com/apps/review-notebook-app
['snyk-bot'],Free and Commercial,False,True,True,Dependency Updates,False,False,False,True,False,False,False,,https://snyk.io/
['SonarCloud'],Free and Commercial,True,False,False,"Security check and updates; automate build, test and checks",True,False,False,True,False,False,False,,https://sonarcloud.io/
['sonatype-lift'],Free and Commercial,True,False,False,Summarize diffs in PR and perform static analysis,False,True,False,False,False,False,False,,https://github.com/marketplace/muse-dev
['sourcelevel-bot'],Free and Commercial,True,False,False,Auto code review with static analysis,False,True,False,False,False,False,False,,https://github.com/apps/sourcelevel-bot
['Travis-ci'],Free and Commercial,True,False,False,"Automating build, test and deploy",False,True,False,False,False,False,False,,https://www.travis-ci.com/
['vercel'],Free and Commercial,True,False,False,Deploy changes for a push.,True,False,False,False,False,False,True,,https://vercel.com/docs/concepts/git/vercel-for-github
['viezly'],Free and Commercial,True,False,False,visualize changes of PR,False,True,False,False,False,False,False,,"https://viezly.com/
https://github.com/apps/viezly"
['whitesource-for-github-com'],Free and Commercial,True,False,False,update dependencies,False,False,False,True,False,False,False,,https://github.com/apps/whitesource-for-github-com
['msftbot'],Private,True,False,False,"issue label/unlabel, auto merge passed PR, merge timer, small conversation",True,False,True,False,False,True,True,WindowsCommunityToolkit,"https://github.com/apps/msftbot
https://github.com/CommunityToolkit/WindowsCommunityToolkit"
"['bors-libra', 'bors', 'bors-servo']",Free and Private,False,True,True,"Continuous Intergration Enhancement, Issue & PR Management, Auto commit, build test and deploy",True,False,False,False,False,True,False,,https://github.com/bors-libra
['AmplabJenkins'],Private,False,True,False,build test for PR,True,False,False,False,False,False,False,,https://githubmemory.com/@AmplabJenkins
['analysis-bot'],Private,False,True,False,build PR for various deployment environment,True,False,False,False,False,False,False,,https://githubmemory.com/@analysis-bot
['angular-automatic-lock-bot'],Private,True,False,False,automatically lock issues that are inactive,False,False,False,False,False,True,False,,https://github.com/apps/angular-automatic-lock-bot
